40.0	10.0	6.0	32.5	17.0	91.0	34.0	0.5	0.0	9.4	5.6	3.0
40.0	11.0	2.0	30.0	19.0	58.0	53.0	3.5	0.0	9.3	5.3	3.0
53.0	10.0	14.0	32.5	20.0	91.0	35.0	0.3	0.0	9.0	4.0	3.0
27.0	10.0	6.0	32.5	17.0	91.0	34.0	0.5	0.0	9.4	5.6	3.0
5.0	12.0	12.0	31.0	15.0	94.0	34.0	0.3	0.0	9.5	4.0	3.0
12.0	12.0	22.0	29.5	12.1	90.0	37.0	2.9	0.0	9.8	3.7	3.0
40.0	12.0	9.0	30.0	12.5	96.0	35.0	0.3	0.0	8.7	3.6	3.0
12.0	8.0	7.0	33.0	23.0	87.0	59.0	3.7	10.6	6.9	3.2	3.0
40.0	11.0	8.0	32.0	21.5	95.0	51.0	0.3	0.0	9.2	3.2	3.0
22.0	11.0	10.0	32.0	14.5	79.0	49.0	1.8	0.0	8.0	3.8	3.0
32.0	10.0	13.0	31.5	15.0	86.0	31.0	2.1	0.0	9.3	4.0	3.0
6.0	10.0	10.0	32.5	17.0	91.0	34.0	0.5	0.0	9.4	5.6	3.0
47.0	12.0	8.0	30.5	15.0	90.0	40.0	0.3	0.0	8.6	3.8	3.0
27.0	11.0	15.0	30.5	16.5	90.0	46.0	0.0	0.0	7.7	3.3	3.0
53.0	9.0	7.0	29.4	22.0	77.0	52.0	1.1	0.0	1.4	3.0	3.0
12.0	11.0	14.0	27.0	8.1	79.0	25.0	2.1	0.0	9.8	3.2	3.0
53.0	7.0	4.0	30.0	22.5	84.0	62.0	14.2	0.0	5.4	3.5	3.0
12.0	12.0	17.0	33.0	14.1	74.0	38.0	3.2	0.0	9.9	3.6	3.0
53.0	7.0	4.0	31.0	23.0	77.0	46.0	10.1	0.0	3.9	6.2	3.0
5.0	11.0	11.0	30.5	16.5	90.0	46.0	0.0	0.0	7.7	3.3	3.0
32.0	10.0	13.0	31.5	15.0	86.0	31.0	2.1	0.0	9.3	4.0	3.0
44.0	9.0	2.0	29.5	22.5	95.0	100.0	1.1	0.0	1.7	3.2	3.0
22.0	11.0	6.0	29.0	19.5	88.0	81.0	3.2	0.8	5.5	3.8	3.0
53.0	8.0	5.0	32.0	24.0	84.0	47.0	10.0	0.0	6.6	5.0	3.0
12.0	8.0	5.0	31.0	22.5	87.0	74.0	6.0	0.2	1.8	3.5	3.0
53.0	7.0	3.0	32.0	23.5	79.0	47.0	8.7	0.0	0.5	5.0	3.0
53.0	8.0	4.0	31.0	23.5	81.0	41.0	9.8	0.6	0.6	5.8	3.0
5.0	11.0	3.0	30.5	16.5	90.0	46.0	0.0	0.0	7.7	3.3	3.0
22.0	11.0	11.0	29.5	14.0	89.0	40.0	0.5	0.0	8.9	3.8	3.0
5.0	11.0	12.0	32.0	21.5	95.0	51.0	0.3	0.0	9.2	3.2	3.0
22.0	12.0	15.0	31.0	17.5	64.0	34.0	0.5	0.0	6.2	2.5	3.0
22.0	12.0	15.0	31.0	17.5	64.0	34.0	0.5	0.0	6.2	2.5	3.0
53.0	10.0	14.0	34.0	18.0	91.0	35.0	0.0	0.0	7.4	3.4	3.0
40.0	12.0	12.0	30.5	9.5	83.0	19.0	1.0	0.0	10.0	3.8	3.0
27.0	9.0	2.0	24.0	22.5	95.0	78.0	0.5	28.2	0.2	2.4	3.0
22.0	12.0	15.0	32.0	15.5	96.0	37.0	0.6	0.0	8.9	4.6	3.0
53.0	8.0	2.0	32.0	23.0	77.0	60.0	7.9	0.0	9.6	3.8	3.0
22.0	9.0	7.0	33.0	24.0	84.0	52.0	0.0	0.0	8.9	4.0	3.0
21.0	9.0	4.0	34.0	24.0	90.0	56.0	1.6	0.0	7.9	6.6	3.0
40.0	9.0	4.0	34.0	24.0	90.0	56.0	1.6	0.0	7.9	6.6	3.0
22.0	12.0	15.0	31.0	17.5	64.0	34.0	0.5	0.0	6.2	2.5	3.0
53.0	8.0	1.0	32.0	24.0	84.0	47.0	10.0	0.0	6.6	5.0	3.0
40.0	11.0	6.0	30.0	19.0	58.0	53.0	3.5	0.0	9.3	5.3	3.0
5.0	12.0	7.0	27.0	9.0	69.0	26.0	1.3	0.0	7.2	4.3	3.0
27.0	9.0	4.0	34.0	24.0	90.0	56.0	1.6	0.0	7.9	6.6	3.0
40.0	12.0	5.0	30.0	12.5	96.0	35.0	0.3	0.0	8.7	3.6	3.0
22.0	11.0	9.0	31.0	15.0	84.0	86.0	4.2	0.0	9.4	6.3	3.0
53.0	10.0	13.0	31.5	15.0	86.0	31.0	2.1	0.0	9.3	4.0	3.0
53.0	9.0	9.0	27.5	21.0	91.0	74.0	9.2	17.0	0.0	1.3	3.0
5.0	11.0	8.0	30.0	22.5	83.0	62.0	1.9	0.0	9.1	6.0	3.0
12.0	8.0	1.0	31.0	22.5	87.0	74.0	6.0	0.2	1.8	3.5	3.0
5.0	10.0	14.0	32.5	17.0	91.0	34.0	0.5	0.0	9.4	5.6	3.0
12.0	11.0	15.0	30.5	16.1	82.0	54.0	1.6	0.0	9.5	3.8	3.0
5.0	11.0	5.0	31.5	14.5	86.0	86.0	3.2	0.0	9.0	5.6	3.0
2.0	10.0	12.0	28.0	21.0	100.0	70.0	6.1	5.6	3.9	2.8	3.0
22.0	11.0	10.0	29.0	16.5	90.0	46.0	2.9	0.0	5.8	3.5	3.0
27.0	9.0	4.0	34.0	24.0	90.0	56.0	1.6	0.0	7.9	6.6	3.0
53.0	9.0	62.0	29.5	21.1	92.0	85.0	0.3	3.5	3.7	4.4	3.0
53.0	9.0	8.0	29.5	22.0	95.0	70.0	7.6	0.0	5.5	2.9	3.0
53.0	8.0	2.0	32.0	23.0	77.0	60.0	7.9	0.0	9.6	3.8	3.0
53.0	10.0	13.0	32.0	15.0	82.0	43.0	1.1	0.0	9.1	4.1	3.0
6.0	10.0	5.0	33.0	20.5	91.0	31.0	0.0	0.0	4.0	3.8	3.0
47.0	12.0	7.0	27.0	9.0	69.0	26.0	1.3	0.0	7.2	4.3	3.0
27.0	11.0	9.0	30.5	17.0	85.0	90.0	3.7	0.0	4.5	4.3	3.0
3.0	11.0	7.0	31.5	21.6	83.0	54.0	3.4	0.0	8.0	3.6	3.0
5.0	10.0	2.0	32.5	20.0	91.0	35.0	0.3	0.0	9.0	4.0	3.0
12.0	12.0	22.0	29.5	12.1	90.0	37.0	2.9	0.0	9.8	3.7	3.0
22.0	11.0	5.0	31.5	14.5	86.0	86.0	3.2	0.0	9.0	5.6	3.0
40.0	8.0	3.0	31.0	23.0	84.0	50.0	2.7	0.0	10.4	6.0	3.0
36.0	8.0	2.0	32.0	23.0	77.0	60.0	7.9	0.0	9.6	3.8	3.0
53.0	8.0	2.0	30.5	22.0	79.0	58.0	8.8	0.0	11.1	3.6	3.0
27.0	12.0	19.0	27.0	9.0	69.0	26.0	1.3	0.0	7.2	4.3	3.0
12.0	8.0	5.0	32.5	24.0	92.0	63.0	3.2	0.0	2.3	3.3	3.0
53.0	8.0	5.0	32.5	24.0	92.0	63.0	3.2	0.0	2.3	3.3	3.0
53.0	8.0	5.0	32.5	24.0	92.0	63.0	3.2	0.0	2.3	3.3	3.0
53.0	10.0	13.0	32.0	15.0	82.0	43.0	1.1	0.0	9.1	4.1	3.0
6.0	9.0	4.0	31.0	21.5	92.0	66.0	0.5	2.0	5.7	4.3	3.0
27.0	9.0	6.0	24.0	22.5	95.0	78.0	0.5	28.2	0.2	2.4	3.0
23.0	10.0	4.0	30.0	22.5	97.0	64.0	0.3	0.0	4.4	2.9	3.0
40.0	12.0	8.0	30.5	9.5	83.0	19.0	1.0	0.0	10.0	3.8	3.0
35.0	1.0	4.0	30.0	17.1	91.0	46.0	2.9	5.0	7.1	3.5	3.0
12.0	12.0	18.0	32.0	15.1	82.0	31.0	2.4	0.0	9.6	3.6	3.0
40.0	12.0	7.0	32.0	17.0	91.0	41.0	0.6	0.0	7.7	4.0	3.0
40.0	12.0	11.0	32.0	17.0	91.0	41.0	0.6	0.0	7.7	4.0	3.0
27.0	9.0	1.0	29.5	21.5	95.0	78.0	0.8	6.0	2.5	2.1	3.0
53.0	10.0	13.0	32.0	15.0	82.0	43.0	1.1	0.0	9.1	4.1	3.0
47.0	12.0	4.0	30.5	15.0	90.0	40.0	0.3	0.0	8.6	3.8	3.0
53.0	7.0	4.0	34.5	23.5	84.0	72.0	7.2	0.0	9.6	5.8	3.0
53.0	8.0	5.0	31.5	22.0	87.0	66.0	6.9	4.0	9.4	3.0	3.0
53.0	7.0	1.0	34.0	25.0	77.0	47.0	14.2	0.0	2.3	7.2	3.0
5.0	11.0	0.0	32.0	21.5	95.0	51.0	0.3	0.0	9.2	3.2	3.0
53.0	8.0	8.0	31.0	23.5	81.0	41.0	9.8	0.6	0.6	5.8	3.0
5.0	11.0	9.0	31.5	14.5	86.0	86.0	3.2	0.0	9.0	5.6	3.0
53.0	9.0	10.0	30.0	21.5	91.0	62.0	5.6	0.0	8.2	3.2	3.0
53.0	10.0	14.0	32.5	20.0	91.0	35.0	0.3	0.0	9.0	4.0	3.0
53.0	7.0	8.0	30.0	22.5	84.0	62.0	14.2	0.0	5.4	3.5	3.0
53.0	8.0	6.0	32.0	23.0	77.0	60.0	7.9	0.0	9.6	3.8	3.0
53.0	11.0	16.0	29.5	14.1	90.0	42.0	1.8	0.0	6.8	3.2	3.0
53.0	9.0	8.0	29.5	22.0	95.0	70.0	7.6	0.0	5.5	2.9	3.0
5.0	10.0	2.0	32.5	17.0	91.0	34.0	0.5	0.0	9.4	5.6	3.0
27.0	11.0	1.0	30.5	17.0	85.0	90.0	3.7	0.0	4.5	4.3	3.0
40.0	12.0	14.0	33.0	19.5	76.0	35.0	0.5	0.0	8.4	3.2	3.0
22.0	11.0	10.0	32.0	14.5	79.0	49.0	1.8	0.0	8.0	3.8	3.0
22.0	12.0	12.0	32.0	9.0	88.0	22.0	0.6	0.0	10.2	4.6	3.0
53.0	10.0	7.0	32.0	18.5	91.0	47.0	2.1	0.0	8.7	5.2	3.0
27.0	10.0	10.0	34.0	20.0	100.0	48.0	0.0	0.0	7.5	4.0	3.0
27.0	11.0	10.0	30.0	19.0	58.0	53.0	3.5	0.0	9.3	5.3	3.0
47.0	12.0	4.0	30.5	15.0	90.0	40.0	0.3	0.0	8.6	3.8	3.0
22.0	12.0	4.0	30.5	9.5	83.0	19.0	1.0	0.0	10.0	3.8	3.0
53.0	7.0	6.0	32.5	23.5	84.0	56.0	13.0	0.0	5.5	6.4	3.0
40.0	10.0	5.0	33.0	20.5	91.0	31.0	0.0	0.0	4.0	3.8	3.0
22.0	12.0	12.0	30.5	9.5	83.0	19.0	1.0	0.0	10.0	3.8	3.0
53.0	8.0	9.0	32.0	24.0	84.0	47.0	10.0	0.0	6.6	5.0	3.0
53.0	8.0	5.0	32.0	24.0	84.0	47.0	10.0	0.0	6.6	5.0	3.0
6.0	10.0	10.0	32.5	17.0	91.0	34.0	0.5	0.0	9.4	5.6	3.0
25.0	3.0	1.0	36.5	18.0	56.0	26.0	2.9	0.0	6.4	5.0	3.0
22.0	12.0	14.0	33.0	19.5	76.0	35.0	0.5	0.0	8.4	3.2	3.0
40.0	9.0	6.0	29.5	22.5	95.0	100.0	1.1	0.0	1.7	3.2	3.0
53.0	8.0	7.0	33.0	23.0	87.0	59.0	3.7	10.6	6.9	3.2	3.0
5.0	11.0	14.0	32.0	14.5	79.0	49.0	1.8	0.0	8.0	3.8	3.0
22.0	11.0	5.0	31.0	15.0	84.0	86.0	4.2	0.0	9.4	6.3	3.0
16.0	10.0	1.0	33.0	20.5	91.0	31.0	0.0	0.0	4.0	3.8	3.0
53.0	8.0	4.0	31.0	23.5	81.0	41.0	9.8	0.6	0.6	5.8	3.0
5.0	10.0	8.0	31.0	21.5	87.0	52.0	0.8	1.8	5.9	2.5	3.0
53.0	7.0	4.0	30.0	22.5	84.0	62.0	14.2	0.0	5.4	3.5	3.0
40.0	12.0	4.0	28.5	19.0	91.0	44.0	0.2	0.0	1.0	2.3	3.0
53.0	8.0	5.0	33.0	24.0	84.0	66.0	7.2	8.0	5.0	5.7	3.0
5.0	12.0	6.0	33.0	19.5	76.0	35.0	0.5	0.0	8.4	3.2	3.0
12.0	9.0	8.0	31.5	20.5	92.0	51.0	1.4	15.2	5.0	2.8	3.0
47.0	11.0	3.0	30.5	19.0	96.0	48.0	0.8	0.0	9.1	4.2	3.0
47.0	12.0	3.0	32.0	15.5	96.0	37.0	0.6	0.0	8.9	4.6	3.0
53.0	10.0	17.0	31.5	15.0	86.0	31.0	2.1	0.0	9.3	4.0	3.0
53.0	10.0	13.0	33.0	20.5	91.0	31.0	0.0	0.0	4.0	3.8	3.0
53.0	7.0	7.0	32.0	23.5	79.0	47.0	8.7	0.0	0.5	5.0	3.0
40.0	10.0	2.0	32.5	17.0	91.0	34.0	0.5	0.0	9.4	5.6	3.0
53.0	10.0	13.0	31.5	15.0	86.0	31.0	2.1	0.0	9.3	4.0	3.0
22.0	12.0	8.0	26.5	17.0	90.0	37.0	0.2	1.4	0.0	2.6	3.0
53.0	10.0	14.0	34.0	18.0	91.0	35.0	0.0	0.0	7.4	3.4	3.0
5.0	12.0	18.0	33.0	19.5	76.0	35.0	0.5	0.0	8.4	3.2	3.0
53.0	8.0	6.0	32.0	23.0	77.0	60.0	7.9	0.0	9.6	3.8	3.0
40.0	10.0	4.0	31.0	21.5	87.0	52.0	0.8	1.8	5.9	2.5	3.0
22.0	11.0	6.0	29.0	16.5	90.0	46.0	2.9	0.0	5.8	3.5	3.0
36.0	8.0	2.0	32.0	23.0	77.0	60.0	7.9	0.0	9.6	3.8	3.0
22.0	12.0	3.0	32.0	17.0	91.0	41.0	0.6	0.0	7.7	4.0	3.0
40.0	8.0	2.0	28.0	22.5	92.0	59.0	0.8	6.0	0.0	4.0	3.0
40.0	11.0	5.0	30.5	17.0	85.0	90.0	3.7	0.0	4.5	4.3	3.0
27.0	11.0	2.0	30.0	19.0	58.0	53.0	3.5	0.0	9.3	5.3	3.0
22.0	11.0	7.0	30.5	19.0	96.0	48.0	0.8	0.0	9.1	4.2	3.0
27.0	10.0	6.0	32.5	17.0	91.0	34.0	0.5	0.0	9.4	5.6	3.0
40.0	11.0	2.0	30.0	19.0	58.0	53.0	3.5	0.0	9.3	5.3	3.0
22.0	12.0	5.0	30.0	12.5	96.0	35.0	0.3	0.0	8.7	3.6	3.0
53.0	7.0	1.0	34.0	25.0	77.0	47.0	14.2	0.0	2.3	7.2	3.0
40.0	12.0	5.0	30.0	12.5	96.0	35.0	0.3	0.0	8.7	3.6	3.0
40.0	12.0	9.0	30.0	12.5	96.0	35.0	0.3	0.0	8.7	3.6	3.0
5.0	10.0	14.0	32.5	17.0	91.0	34.0	0.5	0.0	9.4	5.6	3.0
53.0	7.0	3.0	32.0	23.5	79.0	47.0	8.7	0.0	0.5	5.0	3.0
5.0	11.0	10.0	29.0	19.5	88.0	81.0	3.2	0.8	5.5	3.8	3.0
53.0	10.0	13.0	33.0	20.5	91.0	31.0	0.0	0.0	4.0	3.8	3.0
53.0	8.0	2.0	30.5	22.0	79.0	58.0	8.8	0.0	11.1	3.6	3.0
53.0	8.0	1.0	32.0	24.0	84.0	47.0	10.0	0.0	6.6	5.0	3.0
40.0	10.0	2.0	32.5	17.0	91.0	34.0	0.5	0.0	9.4	5.6	3.0
22.0	9.0	1.0	29.5	22.0	97.0	100.0	0.2	2.2	2.9	2.2	3.0
22.0	12.0	12.0	31.0	21.0	83.0	74.0	0.5	0.0	8.0	3.4	3.0
22.0	12.0	16.0	28.5	19.0	91.0	44.0	0.2	0.0	1.0	2.3	3.0
27.0	10.0	12.0	32.0	17.5	82.0	57.0	1.1	0.0	8.9	3.6	3.0
47.0	12.0	4.0	30.5	15.0	90.0	40.0	0.3	0.0	8.6	3.8	3.0
12.0	10.0	11.0	31.0	20.1	84.0	54.0	1.9	0.0	8.9	3.5	3.0
25.0	3.0	1.0	36.5	18.0	56.0	26.0	2.9	0.0	6.4	5.0	3.0
53.0	9.0	58.0	29.5	21.1	92.0	85.0	0.3	3.5	3.7	4.4	3.0
27.0	9.0	0.0	34.0	24.0	90.0	56.0	1.6	0.0	7.9	6.6	3.0
12.0	8.0	5.0	32.5	24.0	92.0	63.0	3.2	0.0	2.3	3.3	3.0
35.0	1.0	3.0	29.5	14.1	74.0	37.0	3.9	0.0	8.7	3.9	3.0
53.0	10.0	13.0	32.0	15.0	82.0	43.0	1.1	0.0	9.1	4.1	3.0
22.0	9.0	4.0	30.0	23.0	78.0	61.0	4.7	0.0	4.2	5.2	3.0
53.0	7.0	1.0	33.5	24.5	77.0	52.0	10.3	0.0	4.0	6.4	3.0
53.0	8.0	2.0	30.5	22.0	79.0	58.0	8.8	0.0	11.1	3.6	3.0
40.0	9.0	5.0	29.0	21.5	100.0	72.0	0.3	26.2	3.0	1.4	3.0
53.0	9.0	58.0	29.5	21.1	92.0	85.0	0.3	3.5	3.7	4.4	3.0
53.0	7.0	3.0	32.0	23.5	79.0	47.0	8.7	0.0	0.5	5.0	3.0
5.0	12.0	14.0	33.0	17.0	81.0	43.0	1.1	0.0	8.9	4.2	3.0
5.0	9.0	5.0	33.0	24.0	86.0	56.0	1.1	0.0	6.9	5.6	3.0
40.0	12.0	7.0	32.0	17.0	91.0	41.0	0.6	0.0	7.7	4.0	3.0
